title,rating,price,link
"Sennheiser Accentum Wireless Bluetooth Headphones with Mic - Designed in Germany Audio, 50Hr Battery, 10 Min Quick Charge = 5Hr Playback, Hybrid Anc and 2Yr Warranty - Over Ear  ",4.2 out of 5 stars,"10,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo3MjM1NjM5OTYxNjk1NDg6MTcyMzQ2NDc0ODpzcF9hdGY6MzAwMTM5OTQ0MDcyODMyOjowOjo&url=%2FSennheiser-Accentum-Wireless-Bluetooth-Headphones%2Fdp%2FB0CGR7XRYW%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.U2typkoQNBgrulXtL9h2j-iv__cEggN2ZZ59mBEcueM83faEXCvroYFvDYEES-75YbkOqrAsAvk0g5ZmSWF4Z_qXoaP4f2LWXygrDH0Rnaq8UT2eX-6Dxv2UhX1gueot3holKOMZQ0ps5kByOxcuFDBa-n170_qH9N7BAeucIduLZi3vks2hAJ9gbelDtCE9biomwJPXpPMSFneahPVVoZJ_65b0P43Cqhd3ySB49PM._ZP4N3IrT3F1tTryT6AQilZU06KByvfPpdNFmclnQDg%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1723464748%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Noise Newly Launched 3 Wireless On-Ear Headphones with 70H Playtime, 40mm Driver, Low Latency(up to 45ms),Dual Pairing, BT v5.3 (Carbon Black)  ",1.0 out of 5 stars,"1,998",https://amazon.in/sspa/click?ie=UTF8&spc=MTo3MjM1NjM5OTYxNjk1NDg6MTcyMzQ2NDc0ODpzcF9hdGY6MzAwMjg3MjA5MTE0MDMyOjowOjo&url=%2FNoise-Launched-Wireless-Headphones-Playtime%2Fdp%2FB0CY23KHW5%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.U2typkoQNBgrulXtL9h2j-iv__cEggN2ZZ59mBEcueM83faEXCvroYFvDYEES-75YbkOqrAsAvk0g5ZmSWF4Z_qXoaP4f2LWXygrDH0Rnaq8UT2eX-6Dxv2UhX1gueot3holKOMZQ0ps5kByOxcuFDBa-n170_qH9N7BAeucIduLZi3vks2hAJ9gbelDtCE9biomwJPXpPMSFneahPVVoZJ_65b0P43Cqhd3ySB49PM._ZP4N3IrT3F1tTryT6AQilZU06KByvfPpdNFmclnQDg%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1723464748%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Fastrack Fpods FZ100 TWS in-Ear Earbuds with Mega 50 Hrs Playtime|Extra Deep Bass Driver|Quad Mic ENC for Clear Calls|Ultra Low 40ms Latency Gaming Mode|NitroFast Charge-200 Min in 10 Min-Black  ,3.7 out of 5 stars,799,https://amazon.in/sspa/click?ie=UTF8&spc=MTo3MjM1NjM5OTYxNjk1NDg6MTcyMzQ2NDc0ODpzcF9tdGY6MzAwMTUxNzIwNDIxNTMyOjowOjo&url=%2FFastrack-Earbuds-Playtime-Crystal-NitroFast%2Fdp%2FB0C1PC9Y9D%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.U2typkoQNBgrulXtL9h2j-iv__cEggN2ZZ59mBEcueM83faEXCvroYFvDYEES-75YbkOqrAsAvk0g5ZmSWF4Z_qXoaP4f2LWXygrDH0Rnaq8UT2eX-6Dxv2UhX1gueot3holKOMZQ0ps5kByOxcuFDBa-n170_qH9N7BAeucIduLZi3vks2hAJ9gbelDtCE9biomwJPXpPMSFneahPVVoZJ_65b0P43Cqhd3ySB49PM._ZP4N3IrT3F1tTryT6AQilZU06KByvfPpdNFmclnQDg%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1723464748%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"HAMMER Bash 2.0 Over The Ear Wireless Bluetooth Headphones with Mic, Deep Bass, Foldable Headphones, Upto 8 Hours Playtime, Workout/Travel, Bluetooth 5.0 (Grey)  ",3.8 out of 5 stars,"1,999",https://amazon.in/Bash-2-0-Wireless-Bluetooth-Headphones/dp/B09N6PXR5W/ref=sr_1_77?dib=eyJ2IjoiMSJ9.TbIe4A6OHH6nQwsa8o7JkbsNiB0eD3BCmmYCWPddkSdr_I_ZNe9sYXKUAzOTNaNQ5idjqeqEHdaVH-LFJI6pEjLUYc2LalfN-MNcj9c3VY0thRl37Pv0WxAZzqiKH_n4xe4M_4znmZlclZXpCg5V3dh7U3a4MYiAmgHDdUcnpfi0Llvhu29llG_tr7KLrjRqWV2jfSxYGpTbxxLKoIXNZBKv3Tr6cq63GNQ7LyGgjaE.EMBQewadpavq7wGw04wZbQPU9ty8XdH3P6yxKx1RUXM&dib_tag=se&keywords=headphones&qid=1723464766&sr=8-77
"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life (Jazz Green)  ",4.1 out of 5 stars,"1,398",https://amazon.in/OnePlus-Bluetooth-Wireless-Earphones-Bombastic/dp/B0C4FLDT56/ref=sr_1_78?dib=eyJ2IjoiMSJ9.TbIe4A6OHH6nQwsa8o7JkbsNiB0eD3BCmmYCWPddkSdr_I_ZNe9sYXKUAzOTNaNQ5idjqeqEHdaVH-LFJI6pEjLUYc2LalfN-MNcj9c3VY0thRl37Pv0WxAZzqiKH_n4xe4M_4znmZlclZXpCg5V3dh7U3a4MYiAmgHDdUcnpfi0Llvhu29llG_tr7KLrjRqWV2jfSxYGpTbxxLKoIXNZBKv3Tr6cq63GNQ7LyGgjaE.EMBQewadpavq7wGw04wZbQPU9ty8XdH3P6yxKx1RUXM&dib_tag=se&keywords=headphones&qid=1723464766&sr=8-78
Sennheiser CX 80S in-Ear Wired Headphones with in-line One-Button Smart Remote with Microphone Black  ,4.1 out of 5 stars,"1,490",https://amazon.in/Sennheiser-CX-80s-Ear-Earphone/dp/B083T5G5PM/ref=sr_1_79?dib=eyJ2IjoiMSJ9.TbIe4A6OHH6nQwsa8o7JkbsNiB0eD3BCmmYCWPddkSdr_I_ZNe9sYXKUAzOTNaNQ5idjqeqEHdaVH-LFJI6pEjLUYc2LalfN-MNcj9c3VY0thRl37Pv0WxAZzqiKH_n4xe4M_4znmZlclZXpCg5V3dh7U3a4MYiAmgHDdUcnpfi0Llvhu29llG_tr7KLrjRqWV2jfSxYGpTbxxLKoIXNZBKv3Tr6cq63GNQ7LyGgjaE.EMBQewadpavq7wGw04wZbQPU9ty8XdH3P6yxKx1RUXM&dib_tag=se&keywords=headphones&qid=1723464766&sr=8-79
"JBL Tune 710BT by Harman, 50 Hours Playtime with Quick Charging Wireless Over Ear Headphones with Mic, Dual Pairing, AUX & Voice Assistant Support for Mobile Phones (Black)  ",3.8 out of 5 stars,"4,499",https://amazon.in/JBL-Playtime-Charging-Headphones-Assistant/dp/B096G2RN6D/ref=sr_1_80?dib=eyJ2IjoiMSJ9.TbIe4A6OHH6nQwsa8o7JkbsNiB0eD3BCmmYCWPddkSdr_I_ZNe9sYXKUAzOTNaNQ5idjqeqEHdaVH-LFJI6pEjLUYc2LalfN-MNcj9c3VY0thRl37Pv0WxAZzqiKH_n4xe4M_4znmZlclZXpCg5V3dh7U3a4MYiAmgHDdUcnpfi0Llvhu29llG_tr7KLrjRqWV2jfSxYGpTbxxLKoIXNZBKv3Tr6cq63GNQ7LyGgjaE.EMBQewadpavq7wGw04wZbQPU9ty8XdH3P6yxKx1RUXM&dib_tag=se&keywords=headphones&qid=1723464766&sr=8-80
"pTron Tangentbeat in-Ear Bluetooth Wireless Headphones with Mic, Punchy Bass, 10mm Drivers, Clear Calls, Dual Pairing, Fast Charging, Magnetic Buds, Voice Assist & IPX4 Wireless Neckband (Dark Blue)  ",3.8 out of 5 stars,499,https://amazon.in/Tangentbeat-Bluetooth-Headphones-Waterproof-Cancelation/dp/B091MC66JP/ref=sr_1_81?dib=eyJ2IjoiMSJ9.TbIe4A6OHH6nQwsa8o7JkbsNiB0eD3BCmmYCWPddkSdr_I_ZNe9sYXKUAzOTNaNQ5idjqeqEHdaVH-LFJI6pEjLUYc2LalfN-MNcj9c3VY0thRl37Pv0WxAZzqiKH_n4xe4M_4znmZlclZXpCg5V3dh7U3a4MYiAmgHDdUcnpfi0Llvhu29llG_tr7KLrjRqWV2jfSxYGpTbxxLKoIXNZBKv3Tr6cq63GNQ7LyGgjaE.EMBQewadpavq7wGw04wZbQPU9ty8XdH3P6yxKx1RUXM&dib_tag=se&keywords=headphones&qid=1723464766&sr=8-81
realme Buds 2 Wired in Ear Earphones with Mic (Black)  ,4.3 out of 5 stars,598,https://amazon.in/Realme-Buds-Android-Smartphones-Black/dp/B07XMFDHSG/ref=sr_1_82?dib=eyJ2IjoiMSJ9.TbIe4A6OHH6nQwsa8o7JkbsNiB0eD3BCmmYCWPddkSdr_I_ZNe9sYXKUAzOTNaNQ5idjqeqEHdaVH-LFJI6pEjLUYc2LalfN-MNcj9c3VY0thRl37Pv0WxAZzqiKH_n4xe4M_4znmZlclZXpCg5V3dh7U3a4MYiAmgHDdUcnpfi0Llvhu29llG_tr7KLrjRqWV2jfSxYGpTbxxLKoIXNZBKv3Tr6cq63GNQ7LyGgjaE.EMBQewadpavq7wGw04wZbQPU9ty8XdH3P6yxKx1RUXM&dib_tag=se&keywords=headphones&qid=1723464766&sr=8-82
boAt Bassheads 152 in Ear Wired Earphones with Mic(Active Black)  ,4.1 out of 5 stars,499,https://amazon.in/BassHeads-152-ToneSecure-Braided-Earphones/dp/B07KY3FNQP/ref=sr_1_83?dib=eyJ2IjoiMSJ9.TbIe4A6OHH6nQwsa8o7JkbsNiB0eD3BCmmYCWPddkSdr_I_ZNe9sYXKUAzOTNaNQ5idjqeqEHdaVH-LFJI6pEjLUYc2LalfN-MNcj9c3VY0thRl37Pv0WxAZzqiKH_n4xe4M_4znmZlclZXpCg5V3dh7U3a4MYiAmgHDdUcnpfi0Llvhu29llG_tr7KLrjRqWV2jfSxYGpTbxxLKoIXNZBKv3Tr6cq63GNQ7LyGgjaE.EMBQewadpavq7wGw04wZbQPU9ty8XdH3P6yxKx1RUXM&dib_tag=se&keywords=headphones&qid=1723464766&sr=8-83
"OnePlus Nord Buds 2 TWS in Ear Earbuds with Mic, Upto 25dB ANC 12.4mm Dynamic Titanium Drivers, Playback:Upto 36hr case, 4-Mic Design, IP55 Rating, Fast Charging [Lightening White]  ",4.2 out of 5 stars,"2,398",https://amazon.in/OnePlus-Wireless-Earbuds-Titanium-Playback/dp/B0BYJ8HR19/ref=sr_1_84?dib=eyJ2IjoiMSJ9.TbIe4A6OHH6nQwsa8o7JkbsNiB0eD3BCmmYCWPddkSdr_I_ZNe9sYXKUAzOTNaNQ5idjqeqEHdaVH-LFJI6pEjLUYc2LalfN-MNcj9c3VY0thRl37Pv0WxAZzqiKH_n4xe4M_4znmZlclZXpCg5V3dh7U3a4MYiAmgHDdUcnpfi0Llvhu29llG_tr7KLrjRqWV2jfSxYGpTbxxLKoIXNZBKv3Tr6cq63GNQ7LyGgjaE.EMBQewadpavq7wGw04wZbQPU9ty8XdH3P6yxKx1RUXM&dib_tag=se&keywords=headphones&qid=1723464766&sr=8-84
"Noise Buds VS104 Max Truly Wireless in-Ear Earbuds with ANC(Up to 25dB),Up to 45H Playtime, Quad Mic with ENC, Instacharge(10 min=180 min), 13mm Driver, BT v5.3 (Rose Gold)  ",3.8 out of 5 stars,"1,299",https://amazon.in/sspa/click?ie=UTF8&spc=MTozNTcyODUzMjc3ODUzNzg6MTcyMzQ2NDc2NjpzcF9idGY6MzAwMjExMzg0ODE3OTMyOjowOjo&url=%2FNoise-Wireless-Earbuds-Playtime-Instacharge%2Fdp%2FB0C7L4D51M%2Fref%3Dsr_1_85_sspa%3Fdib%3DeyJ2IjoiMSJ9.TbIe4A6OHH6nQwsa8o7JkbsNiB0eD3BCmmYCWPddkSdr_I_ZNe9sYXKUAzOTNaNQ5idjqeqEHdaVH-LFJI6pEjLUYc2LalfN-MNcj9c3VY0thRl37Pv0WxAZzqiKH_n4xe4M_4znmZlclZXpCg5V3dh7U3a4MYiAmgHDdUcnpfi0Llvhu29llG_tr7KLrjRqWV2jfSxYGpTbxxLKoIXNZBKv3Tr6cq63GNQ7LyGgjaE.EMBQewadpavq7wGw04wZbQPU9ty8XdH3P6yxKx1RUXM%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1723464766%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Adcom Luminosa - Wireless Bluetooth Over-Ear Stereo Headphone with RGB LED Lights, 15 Hours Battery Life, Passive Noise Cancellation, Built in Mic, and Equalizer Function (Black)  ",3.8 out of 5 stars,"1,485",https://amazon.in/sspa/click?ie=UTF8&spc=MTozNTcyODUzMjc3ODUzNzg6MTcyMzQ2NDc2NjpzcF9idGY6MjAwNDc1NDYxNTYyMDY6OjA6Og&url=%2FAdcom-Luminosa-Bluetooth-Minimalist-Cancellation%2Fdp%2FB07M6FW85W%2Fref%3Dsr_1_86_sspa%3Fdib%3DeyJ2IjoiMSJ9.TbIe4A6OHH6nQwsa8o7JkbsNiB0eD3BCmmYCWPddkSdr_I_ZNe9sYXKUAzOTNaNQ5idjqeqEHdaVH-LFJI6pEjLUYc2LalfN-MNcj9c3VY0thRl37Pv0WxAZzqiKH_n4xe4M_4znmZlclZXpCg5V3dh7U3a4MYiAmgHDdUcnpfi0Llvhu29llG_tr7KLrjRqWV2jfSxYGpTbxxLKoIXNZBKv3Tr6cq63GNQ7LyGgjaE.EMBQewadpavq7wGw04wZbQPU9ty8XdH3P6yxKx1RUXM%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1723464766%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"pTron Tangentbeat in-Ear Bluetooth 5.0 Wireless Headphones, Deep Bass, 18H Playtime, Clear Calls, Dual Device Pairing Wireless Neckband, Fast Type-C Charging, Voice Assistant & IPX4 (Green/Grey)  ",3.8 out of 5 stars,499,https://amazon.in/sspa/click?ie=UTF8&spc=MTo3MjM1NjM5OTYxNjk1NDg6MTcyMzQ2NDc0ODpzcF9tdGY6MzAwMTQwNzM0ODk3MTMyOjowOjo&url=%2FpTron-Tangentbeat-Bluetooth-Headphones-Assistant%2Fdp%2FB0CL2M9D81%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.U2typkoQNBgrulXtL9h2j-iv__cEggN2ZZ59mBEcueM83faEXCvroYFvDYEES-75YbkOqrAsAvk0g5ZmSWF4Z_qXoaP4f2LWXygrDH0Rnaq8UT2eX-6Dxv2UhX1gueot3holKOMZQ0ps5kByOxcuFDBa-n170_qH9N7BAeucIduLZi3vks2hAJ9gbelDtCE9biomwJPXpPMSFneahPVVoZJ_65b0P43Cqhd3ySB49PM._ZP4N3IrT3F1tTryT6AQilZU06KByvfPpdNFmclnQDg%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1723464748%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"pTron Bassbuds Turbo TWS Earbuds with 40ms Gaming Low Latency, TruTalk AI-ENC Calls, Deep Bass, 45Hrs Playtime, HD Mic, in-Ear Bluetooth 5.3 Headphones, Type-C Fast Charging & IPX5 (Bold Blue)  ",4.7 out of 5 stars,599,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2OTgyNzk1OTI1OTI5MjU6MTcyMzQ2NDc2OTpzcF9hdGZfbmV4dDozMDAyNjQxNDg2NjAwMzI6OjA6Og&url=%2FpTron-Bassbuds-Playtime-Bluetooth-Headphones%2Fdp%2FB0D7QF29SM%2Fref%3Dsr_1_81_sspa%3Fdib%3DeyJ2IjoiMSJ9.rq3jn4F23tvngwHyF3Ab202drShgrOXZB6rQFO0v3eyhboOzNMCnlh19QzvjwspAU7ynpf-SFXNyix7TDkZJiQpi35sbuA_zS63IjlJMOFaJI3O3MQkodQZG9mymPgfCq7Oa1OrZiuw9LDTCuqaYiQ8uwxT_yNg-lRaioTMiFpclK5QggaCIliWwcpHOat5ubtHV6Moy5CE_S_yq-SFi-RSwbedx9hWW56WPynWZ1ho.zedLFooHrB0zS8du5IHcsocK3Ra2jlIW7L41QYEVvxc%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1723464769%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"HAMMER Bash 2.0 Over The Ear Wireless Bluetooth Headphones with Mic, Deep Bass, Foldable Headphones, Upto 8 Hours Playtime, Workout/Travel, Bluetooth 5.0 (Grey)  ",3.8 out of 5 stars,"1,999",https://amazon.in/sspa/click?ie=UTF8&spc=MTo2OTgyNzk1OTI1OTI5MjU6MTcyMzQ2NDc2OTpzcF9hdGZfbmV4dDozMDAyMDY1ODQ4Njg1MzI6OjA6Og&url=%2FBash-2-0-Wireless-Bluetooth-Headphones%2Fdp%2FB09N6PXR5W%2Fref%3Dsr_1_82_sspa%3Fdib%3DeyJ2IjoiMSJ9.rq3jn4F23tvngwHyF3Ab202drShgrOXZB6rQFO0v3eyhboOzNMCnlh19QzvjwspAU7ynpf-SFXNyix7TDkZJiQpi35sbuA_zS63IjlJMOFaJI3O3MQkodQZG9mymPgfCq7Oa1OrZiuw9LDTCuqaYiQ8uwxT_yNg-lRaioTMiFpclK5QggaCIliWwcpHOat5ubtHV6Moy5CE_S_yq-SFi-RSwbedx9hWW56WPynWZ1ho.zedLFooHrB0zS8du5IHcsocK3Ra2jlIW7L41QYEVvxc%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1723464769%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"JBL Tune 520BT Wireless On Ear Headphones with Mic, Pure Bass Sound, Upto 57 Hrs Playtime, Speedcharge, Customizable Bass with Headphones App, Lightweight, Bluetooth 5.3 (Blue)  ",4.0 out of 5 stars,"3,499",https://amazon.in/JBL-Headphones-Speedcharge-Customizable-Lightweight/dp/B0C4CCMNQT/ref=sr_1_83?dib=eyJ2IjoiMSJ9.rq3jn4F23tvngwHyF3Ab202drShgrOXZB6rQFO0v3eyhboOzNMCnlh19QzvjwspAU7ynpf-SFXNyix7TDkZJiQpi35sbuA_zS63IjlJMOFaJI3O3MQkodQZG9mymPgfCq7Oa1OrZiuw9LDTCuqaYiQ8uwxT_yNg-lRaioTMiFpclK5QggaCIliWwcpHOat5ubtHV6Moy5CE_S_yq-SFi-RSwbedx9hWW56WPynWZ1ho.zedLFooHrB0zS8du5IHcsocK3Ra2jlIW7L41QYEVvxc&dib_tag=se&keywords=headphones&qid=1723464769&sr=8-83
"boAt Rockerz 255 Touch Neckband with Full Touch Controls,Spatial Audio,Up to 30H Playtime,ASAP Charge,Beast Mode,Enx Technology(Pitch Black),in-ear,Bluetooth  ",4.0 out of 5 stars,979,https://amazon.in/boAt-Rockerz-255-Touch-Technology/dp/B0BZ86WQS4/ref=sr_1_84?dib=eyJ2IjoiMSJ9.rq3jn4F23tvngwHyF3Ab202drShgrOXZB6rQFO0v3eyhboOzNMCnlh19QzvjwspAU7ynpf-SFXNyix7TDkZJiQpi35sbuA_zS63IjlJMOFaJI3O3MQkodQZG9mymPgfCq7Oa1OrZiuw9LDTCuqaYiQ8uwxT_yNg-lRaioTMiFpclK5QggaCIliWwcpHOat5ubtHV6Moy5CE_S_yq-SFi-RSwbedx9hWW56WPynWZ1ho.zedLFooHrB0zS8du5IHcsocK3Ra2jlIW7L41QYEVvxc&dib_tag=se&keywords=headphones&qid=1723464769&sr=8-84
